Block,Time,SINGRAULI_HYDRO,ANTA_RF,DADRI_CRF,AURY_LF,PARBATI3,NAPP,UNCHAHAR3,DULHASTI,CHAMERA1,SALAL,UNCHAHAR1,TANDA2,UNCHAHAR2,CHAMERA3,ANTA_CRF,BSIUL,AURY_RF,JHAJJAR,NJPC,DADRI_RF,RIHAND1,KISHANGANGA,DADRI_LF,DHAULIGNGA,UNCHAHAR4,RAPPB,DADRI_GF,URI,SEWA2,URI2,AURY_CRF,RIHAND3,RAMPUR,SINGRAULI,KOLDAM,DADRT2,ANTA_LF,TEHRI,KOTESHWR,RAPPC,CHAMERA2,AURY_GF,ANTA_GF,TANAKPUR,RIHAND2,SASAN,TALA,KHSTPP-II,BRBCL,KHSTPP-I,KUDGI,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
31,07:30-07:45,0.572986,0.000000,0.000000,0.000000,3.689918,0.000000,9.526732,47.765600,12.976066,12.349968,6.666780,0.000000,11.430146,18.719913,0.000000,6.300397,0.000000,225.056966,128.098796,0.000000,88.890400,0.000000,0.000000,8.806816,0.000000,0.000000,0.000000,13.866902,15.269871,11.697590,0.000000,119.485727,0.000000,131.886300,0.000000,214.672271,0.000000,60.140153,28.580196,49.657366,38.174678,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,93.884978,19.324022,36.580912,84.06,7.697812,0,0,0,0,0

32,07:45:08:00,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,31.734646,0.000000,23.577212,6.666780,0.000000,20.131067,0.000000,0.000000,0.000000,0.000000,225.056966,91.499140,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.866902,10.200521,9.098126,0.000000,119.485727,0.000000,131.886300,0.000000,212.564000,0.000000,60.140153,18.100791,49.657366,25.449785,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,93.884978,19.324022,36.580912,84.06,13.075102,0,0,0,0,0

33,08:00-08:15,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.867323,0.000000,68.486188,6.666780,0.000000,11.430146,0.000000,0.000000,0.000000,0.000000,225.366150,73.199312,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.866902,5.100261,9.098126,0.000000,119.485727,0.000000,131.886300,0.000000,218.361200,0.000000,60.140153,9.526732,49.657366,25.449785,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,93.884978,19.324022,36.580912,88.89,7.697812,0,0,0,0,0

34,08:15-08:30,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.867323,0.000000,68.486188,6.666780,0.000000,11.333526,0.000000,0.000000,0.000000,0.000000,225.366150,55.814475,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.866902,0.000000,9.098126,0.000000,119.485727,0.000000,131.886300,0.000000,215.462600,0.000000,45.105115,8.574059,49.657366,12.724893,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,93.884978,19.324022,36.580912,91.79,7.697812,0,0,0,0,0

35,08:30-08:45,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.867323,0.000000,68.486188,6.666780,0.000000,11.333526,0.000000,0.000000,0.000000,0.000000,225.366150,42.547100,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.000816,0.000000,9.098126,0.000000,119.485727,0.000000,126.089100,0.000000,209.665400,0.000000,42.609420,8.574059,49.657366,12.724893,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,93.884978,19.324022,36.580912,95.65,7.697812,0,0,0,0,0

