Block,Time,KHSTPP-II,TALA,KHSTPP-I,SASAN,FSTPP I & II,BRBCL,DADRI_GF,UNCHAHAR4,URI,JHAJJAR,NAPP,DADRT2,UNCHAHAR2,DADRI_RF,DADRI_CRF,RIHAND2,RIHAND1,RAPPB,RAMPUR,KOLDAM,RIHAND3,SINGRAULI,NJPC,TEHRI,PARBATI3,DADRI_LF,ANTA_LF,AURY_LF,TANAKPUR,AURY_GF,DHAULIGNGA,RAPPC,KISHANGANGA,ANTA_GF,CHAMERA3,AURY_RF,BSIUL,CHAMERA2,AURY_CRF,SALAL,KOTESHWR,UNCHAHAR1,SINGRAULI_HYDRO,UNCHAHAR3,DULHASTI,SEWA2,ANTA_RF,URI2,CHAMERA1,TANDA2,ANTA_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
33,08:00-08:15,142.293572,0.000000,44.756553,403.945542,19.740153,19.291953,0.000000,0.000000,40.466899,420.020601,42.134886,485.700119,40.889490,0.000000,0.000000,113.943375,88.743200,0.000000,0.000000,0.000000,58.530578,121.141702,112.814311,38.467283,0.000000,0.000000,0.000000,0.000000,4.942610,0.000000,17.625241,52.268105,0.000000,0.000000,18.688914,0.000000,12.579927,38.111462,0.000000,12.329517,30.435059,10.523786,0.775018,25.455890,31.791001,15.244585,0.000000,18.166119,27.104025,0.000000,0.000000,0,0,0,0,0

34,08:15-08:30,142.293572,0.000000,44.756553,403.945542,19.740153,19.291953,0.000000,0.000000,40.466899,420.020601,42.134886,476.777569,40.889490,0.000000,0.000000,113.943375,88.743200,0.000000,0.000000,0.000000,58.530578,121.141702,73.078096,38.467283,0.000000,0.000000,0.000000,0.000000,4.942610,0.000000,8.812620,52.268105,0.000000,0.000000,2.456643,0.000000,0.000000,3.214530,0.000000,12.329517,16.168625,10.523786,0.775018,25.455890,15.895501,15.244585,0.000000,18.166119,11.430510,0.000000,0.000000,0,0,0,0,0

35,08:30-08:45,142.293572,0.000000,44.756553,403.945542,19.740153,19.291953,0.000000,0.000000,31.947552,420.020601,42.134886,435.043281,40.889490,0.000000,0.000000,113.943375,88.743200,0.000000,0.000000,0.000000,58.530578,121.141702,54.808572,38.467283,0.000000,0.000000,0.000000,0.000000,4.942610,0.000000,7.645420,52.268105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,8.084313,10.523786,0.775018,25.455890,15.895501,15.244585,0.000000,18.166119,0.000000,0.000000,0.000000,0,0,0,0,0

36,08:45:09:00,142.293572,0.000000,44.756553,403.945542,19.740153,19.291953,0.000000,0.000000,31.947552,420.020601,42.134886,405.227495,40.889490,0.000000,0.000000,113.943375,88.743200,0.000000,0.000000,0.000000,58.530578,121.141702,18.269524,38.467283,0.000000,0.000000,0.000000,0.000000,4.942610,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,8.084313,10.523786,0.775018,25.455890,15.895501,15.244585,0.000000,18.166119,0.000000,0.000000,0.000000,0,0,0,0,0

37,09:00:09:15,142.293572,0.000000,44.756553,403.945542,19.740153,19.291953,0.000000,0.000000,31.947552,420.020601,42.134886,366.006859,40.889490,0.000000,0.000000,113.943375,88.743200,0.000000,0.000000,0.000000,58.530578,121.141702,0.000000,25.644856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,8.084313,10.523786,0.775018,25.455890,15.895501,15.244585,0.000000,20.761279,0.000000,0.000000,0.000000,0,0,0,0,0

