Block,Time,CHAMERA1,DADRI_CRF,UNCHAHAR4,SINGRAULI_HYDRO,TANDA2,CHAMERA2,CHAMERA3,KOLDAM,SEWA2,RAMPUR,RAPPB,BSIUL,DADRI_GF,RIHAND3,TEHRI,KISHANGANGA,UNCHAHAR1,NAPP,UNCHAHAR2,DADRT2,ANTA_CRF,RAPPC,KOTESHWR,DADRI_LF,ANTA_LF,DHAULIGNGA,SINGRAULI,DULHASTI,DADRI_RF,JHAJJAR,UNCHAHAR3,ANTA_GF,TANAKPUR,RIHAND1,NJPC,PARBATI3,AURY_CRF,AURY_LF,ANTA_RF,SALAL,URI2,URI,AURY_RF,AURY_GF,KUDGI,KHSTPP-II,SASAN,FSTPP I & II,KHSTPP-I,BRBCL,RIHAND2,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
35,08:30-08:45,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,0.000000,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.455259,37.759781,9.524760,218.499540,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.386826,0.000000,11.384503,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,49.75,47.786474,333.632250,6.326817,14.491159,14.490000,114.108750,25.560360,0,0,0,0,0

36,08:45:09:00,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,0.000000,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.455259,37.759781,9.524760,218.499540,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.386826,0.000000,11.384503,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,61.82,47.786474,333.632250,6.326817,14.491159,14.490000,114.108750,25.560360,0,0,0,0,0

37,09:00:09:15,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,0.000000,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.455259,37.759781,9.524760,218.499540,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.386826,0.000000,11.384503,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,48.67,38.147340,333.632250,2.830380,10.461780,14.490000,114.108750,25.560360,0,0,0,0,0

38,09:15-09:30,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,0.000000,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.455259,37.759781,9.524760,218.499540,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.386826,0.000000,11.384503,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,49.15,38.147340,333.632250,2.830380,10.461780,14.490000,114.108750,25.560360,0,0,0,0,0

39,09:30-09:45,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,0.000000,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.455259,37.759781,9.524760,218.499540,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.386826,0.000000,11.384503,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,58.93,38.147340,333.632250,2.830380,10.461780,14.490000,114.108750,25.560360,0,0,0,0,0

40,09:45-10:00,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,0.000000,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.455259,37.759781,9.524760,218.499540,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.386826,0.000000,11.384503,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,68.59,47.478900,334.719000,2.830380,10.461780,14.490000,114.108750,25.560360,0,0,0,0,0

